StationID,no.,Seasons,pH,Cond,Temp,Dissolved_Oxygen,TDS,Na,K,Ca,Mg,F,Cl,HCO3,NO3,SO4,Si
M01,M03,Dry,7.44,507,26.2,7,325,0.892460154,0.299101995,1.88045976,0.196068435,0.003674947,1.617444134,12.22685147,0.169084526,1.49886526,0.467529017
M02,M52,Dry,7.54,348.4,28.2,5.14,213.2,0.908552944,0.41444198,0.43805254,0.128549145,0.002764749,1.767593665,4.913072736,0.252372166,1.25293462,0.631336799
M03,M54,Dry,7.82,2452,29.8,8.17,1456,8.49699312,0.269621877,2.504875,0.39330351,0.00289303,23.7020391,10.66360105,0,0.622277585,0.809551186
M04,M53,Dry,7.5,252.3,26.5,6.2,159.25,0.616353857,0.321622616,0.4168112,0.10908084,0.002628412,1.251267278,3.238161576,0.236436176,1.334672465,0.735031495
M05,M46,Dry,7.66,980,28.4,7.38,598,3.09901156,0.549331115,1.20193922,0.281938,0.004065424,7.646128226,8.93285952,0,1.761899911,0.482096776
M06,M44,Dry,7.7,300,26.8,6.6,188.5,0.604399213,0.200222394,0.8837199,0.183381225,0.006651699,0.978933523,7.369609104,0,0.441689777,0.676120117
M07,M38,Dry,7.4,312.7,28.1,5.17,191.75,0.61152602,0.203741241,0.74705392,0.13377472,0.003982848,1.998557093,3.852295668,0.022339869,0.207782594,0.717342073
M08,M36,Dry,7.63,951,28.3,6.5,578.5,3.24614564,0.237170288,1.10775592,0.191499095,0.005236469,8.335843888,5.638867572,0.068757819,1.685335297,0.716301519
M09,M40,Dry,7.47,995,26.9,5.96,624,3.71283655,0.157292461,0.95305484,0.15035073,0.004144044,9.587993596,4.410599388,0.042433605,1.314011017,0.746776522
M10,M34,Dry,7.23,277.8,26.2,6.34,174.2,0.494508447,0.100326238,1.02519524,0.07845654,0.002886353,2.410477672,1.3957593,0.012996012,0.310471869,0.29279595
M11,M39,Dry,6.62,215.6,25.5,6.36,139.1,0.829698273,0.067991944,0.05170062,0.035704045,0.002941685,2.057311124,0.446642976,0.013143654,0.209937868,0.27606704
M12,M28,Dry,6.68,77.9,31.2,7.68,45.5,0.153456248,0.059624908,0.122478368,0.020532864,0.002308335,0.388000535,1.004946696,0,0.104210278,0.468929075
M13,M26,Dry,6.98,290.9,30.1,7.6,172.25,0.853607561,0.137665114,0.33224662,0.052766155,0.002305036,1.92896863,2.065723764,0.496405228,0.542154304,0.438011575
M14,M04,Dry,7.57,250.1,29.3,6.2,150.15,0.503934224,0.135280118,0.70056344,0.08876186,0.003157481,0.973339816,4.46642976,0,0.573859687,0.510343762
M15,M24,Dry,7.22,186.6,28.4,4.14,113.75,0.19235482,0.263913525,0.39837532,0.078091965,0.001240234,0.647609648,3.461483064,0.085916693,0.336343351,0.756371608
M16,M18,Dry,6.92,115.2,29.4,3.95,68.9,0.145915626,0.246710273,0.318580022,0.04258236,0.001507344,0.349837855,2.400705996,0,0.116298472,0.476391919
M17,M06,Dry,7.59,263.8,27.7,7.62,163.15,0.208010806,0.095790835,1.07930054,0.214734675,0.001487509,0.566197232,5.895687283,0.062335019,1.705679315,0.599405842
M18,M13,Dry,7.67,211,28.7,6.45,128.05,0.726014726,0.051570658,0.150452812,0.05366544,0.0013335,1.727060836,1.172437812,0.013078575,0.179558076,0.449738903
M19,M14,Dry,7.1,354,30.6,7.1,208,1.166497378,0.057826386,0.340342376,0.072793475,0.001849369,2.603064707,2.289045252,0,0.52028728,0.761210156
M01,M03,Rainy,7.67,497,29.3,4.6,249,42.05475834,8.483265092,46.1682,8.2532,0.203394865,45.57891416,184.0266688,0.530707194,28.35904088,9.351071493
M02,M52,Rainy,7.4,269,29.1,5.11,135,27.82383418,8.064461878,13.9639,5.8178,0.156847395,28.27852819,87.05877024,2.707298118,12.2762484,13.14781908
M03,M54,Rainy,7.55,1996,31.1,4.7,998,326.2278412,4.067031206,62.397,13.989,0.305974232,603.01,120.3251296,0,9.76009625,13.19592113
M04,M53,Rainy,7.61,272,30.1,5.76,136,29.60393665,9.858975648,11.9711,5.5416,0.150022113,32.49533683,84.9353856,2.466955736,9.222221189,12.97946191
M05,M46,Rainy,7.38,665,30.4,3.5,332,89.05690013,10.10367753,28.3537,8.1161,0.228932196,132.1480403,116.7861552,2.627962089,18.09113026,13.94390979
M06,M44,Rainy,7.21,169,29.7,4,85,13.65478229,4.089031375,13.053,3.9375,0.182969322,13.75046052,67.11848,0.729476008,6.252623232,10.15850263
M07,M38,Rainy,7.06,94,30.9,5.73,47,8.688707227,2.465918921,5.6452,1.8071,0.18891481,9.805234937,31.14297472,0.69336878,4.029819986,7.600364325
M08,M36,Rainy,6.9,324,30.4,3.59,162,46.49626843,2.452418817,10.3071,2.5172,0.132811653,75.42946449,33.97415424,0.341335033,6.169358113,6.500603931
M09,M40,Rainy,6.8,193,29.7,3.91,97,25.69978581,2.411718505,6.2005,1.6233,0.136797593,40.44775513,26.18841056,0.451701596,4.137652184,6.141986411
M10,M34,Rainy,6.67,65,20.3,4.24,33,6.259095758,1.609212347,3.9769,0.8578,0.14968731,6.734899201,19.11046176,2.02128975,3.017932682,5.759461056
M11,M39,Rainy,6.47,126,30,2.97,63,17.81341911,2.002115362,3.1868,0.8544,0.106578254,27.63143964,14.1558976,0.307474685,3.438867469,3.392585424
M12,M28,Rainy,6.48,42,29,4.99,21,3.929039685,1.436411022,2.3509,0.4951,0.359366009,5.618862421,10.6169232,0.542990825,1.295278357,4.17477896
M13,M26,Rainy,6.36,40,27.9,4.74,20,3.675653209,1.677712873,1.9273,0.5266,0.161588897,5.576092909,8.13964112,0.303111405,1.351667063,3.866742124
M14,M04,Rainy,7.3,177,28.8,4.83,88,19.39421088,3.069123549,10.1189,2.2448,0.370986618,27.44837027,42.4676928,0,4.041854744,7.062909673
M15,M24,Rainy,6.44,36,27.7,5.01,18,2.858719217,1.57051205,1.7755,0.6596,0.071348119,4.9225243,9.15252,0.477226184,1.792092585,5.342751961
M16,M18,Rainy,6.51,31,27.3,4.94,16,2.121649444,1.568512035,2.0377,0.5122,0.17819586,3.773432296,5.491512,0.747439131,1.836184638,3.956586201
M17,M06,Rainy,7.36,100,27.1,5.89,50,3.741923518,1.386210636,11.6187,2.3754,0.115993817,5.457765447,42.4676928,0,3.345543821,7.159113775
M18,M13,Rainy,6.52,50,26.7,5.05,25,6.029198758,1.106908493,1.8123,0.6411,0.08500126,8.256346388,10.6169232,0,1.589171593,3.323885947
M19,M14,Rainy,6.54,56,27.5,4.53,28,6.465403327,1.37231053,2.5784,0.6864,0.630159737,8.695412576,10.6169232,0,1.360139292,3.758277698
